ID Imagem,ID Folha,Perímetro,Primeira Diferença
Teste01,01,4122,700000000000000007170161070171700170000017016116100000001610000000000071161007277100710001010017170017171007001700000000070007017017101000001717000001716270000017170072610171617171717071717010717107107171017712627007107171717007161170161000071717107100000000170000000170171701700171700001617107107071170100000170001101771710006100000070001710700001717001171061071070161171100710007100007017170700000000007116117000001700000000171771000071071717171071000710000001601000007270000000177270000170017107171717001772707100000710001707100017017001700016271710071711600000710710717170170017107100717170170170000017710717017017170162610071000726261001610071007107107107107107260107171000071072610726011617100071007170100072610710726100710071007260171000702610702610702617107107107002617107001071007107026017010701071702610701710702601071710702602610726010710726171070026170261071071071070107107100710710710007116261162611627007262611601017007270072700170727017001621511701071711700177100000017710170017001701071700170107170017107017010701710701007010701071710701071071007107107026026026026107107107107107100071007100710726100072610000007100000071710700711521526026026017016107017707711107171071071071007100710071071000710710710071071000717107107107107107107107107107107107171071710717107171071717171071717170171070171717107017171701717017171701071071726107107107171710710007261001700000016117017001700170171716271000700171007000171007001710061171701710701071701717171007107010717107010717171071071717107170010160107017171070010717170100701710701717017171701701701701717017017017170171700170171701701717171070171701717170171701701717171700171061171717170171717001611071701717177270017000001771007100007100000000000711610710071717170710717000007107171710000071000001170001071000007716116100001700171071000701700710717171072626010072600000100000000007270007100001701710710701170000071017716010071071701072700170161007107107000100071071071001700000071071160001000072710772700000000000717010700017172617171701700000071071717017171710712710171717171701700071717000710071001701
Teste01,02,4436,1000000161707126171000161717070111610006117071016117620710772620010725116010710070107001000620717100710706111717017171761002717170017005011171017721610701170007177171771010107017072700017007261010770011071071007070010010717000000661112512717000171617002700171761117000000006071101072177070002717011606110000001717607101062100000107176110000007100010017717176700027016271712617167011010171715171101610060000126117161000017616262621000007001000007761117001172772077701711000000000770011710710000701061701117000017600110007170017602700072117061100601701100007171700707117170110070171711007006000000710071017071771620117110725000110177001071716160116172100060011000071607100117107107107007017071707000000727010000101772107701711717070727711270672107170017077002116701100770011717170177077107100711000716100010000177170177126107111771010607172170106010070726172671070162007000117277262607100117170720160710721707170171160770017001620100061270071720000070010707026107017206020710100000170170710070100610017070720261717151010007001700700717001070000711617100007017172700000110600071007171710000000000010267000007100007172620161610011117067111500007171007010711017017171701717101707011611006070717017100116000710001100611160710000261000711610170771001017017007070161000071717111726170700071717106117200017700071011617110601170710071101770277002707026070007261717171701007261717170161100117160071717010000710071710017726100001172671026270017701601601717171701717171701000000717170100710700070100171007107171007171717016117711717177116117711771001521611770017100171701611700017171061160171171007171071717100117167161007017000017117010007711617171161161711611610152177162161711611770117152161071710621601006207116101717161711617170107720717162016072621511001771177017727161727011611700017711716110717100711167070727161017127527001627000101777270000072711600016217700170010716271070000162700110770001627072611017617027171176000251100017076217172707216126700000071100707170170200601611601010710701717171726170701717007010071071017710000000011600711627001712171610161161017171610161176207011716010712760107117161177117071062626172141710077107171717001717017016100170772161001771711717717010001071071521011701717170277027017171701626
Teste01,03,8038,10000000000072021717017171717170171717017171717017017171701700171716100171716100170171700717100711700062710000007072007101601701070142110071717171700727170170710171717170160261017170177271772717761717107711007170010070001070010070000001160000000100617100000011600161177171710711007071711611771710710007101707100007171717107171717170107170171717017170170107012100000710000006117100710710710700017107107107710010717107001701717017010717017170711701706217171717017701171717170017170700117017171771016100161071071500071000717117071000177107100170071071000721600170007100717100001771710071170710717171000000070107171007001717100707117170107170171701717161170017000170007117071071071007170171712710711070000000001610177117000000000001700017071171127000000007100007216521007107101616117171717711701717017170161161000114207100700010710177170100771171000000007000001770111771710710000707101710710710700017170017107161017171717017000060717017171700171710771001000717170711000077101700107001610017001171617001701700107177101700000000710161071000001771071007107107107010070107107170170171700000170071012701071071070171071701710071710071710071071071071007171070116011612100000000000710000710007171710710717710170161171770100170017710701710070010711771071000707110717017171700017107107170001717171701700017171716101007170000170017000000170162616700010061071011600171161700010007000010771007101711700717017170711070170161017107710016101076201771000007107100710710627117071717171701070010701700107016277262610072141112701071071717107171071710710701007107107171071071071717107107121000000000071001511176110000717171701700017701017017071000710710710062710710176200007017170171700001710710627016207162017717017017100717107100710700017006071000701161717107001007171007001710000701710071717711771107107171717000172707001701710771170001617001007107117071701717017170170171701717017010626101627001011071071000071007100710071007107107107100717171071071071201001511001752101671171061171717171077107117071177017017107000072627170071010626206262071007000001717016260110701771170077007171701726170000017001070001170771711070100700010070001610277007100700106216711707262626277262042116100007261001160612100171717171710701717171710701710717107171710710717107171710717107107010710710710710710710710717100710071071000711610007117710000170000170017001700170161100000070716161716206271105201771700072626107061000710072071000710710710710007107100000710007100071007107107107100710710710710717107171710717171071710717171710701071710717010710717171717171710712427101100107001701717017016161061017100117100170010070007001707107106271071716100000161072700000000000000000017006101170000007261671007171701700107016110600117620100071070161000016100161000161071071062062141262772104117270000161710016017260100061201171717107107171071071007171007107100710071000710007100007100011100710717107171717170017001611701610170161170160100071007000171070171701626207017151101700007262511100701627170000116000720707101772610016116117007026100007266107017161000267171171071700710071170711707100170062001052161000711717710176201601711707170107010070170001627017000162626270000727007100070277107107172110710710717171071710710710710717171071071071710717171071071071071111007161010717000170711701610710710071071071070771700011000702611001071701710001772771070701070171071701620610006126100016100000001627072611772061000177107262625110107151100000000000000007177710701707010017000701071107000170170071000001610701000260017710710071717011700260716206201771700171242001600107017016101701701160162707270072626171071071717170171120717107107107171007171071071071007171710717171070107171071000017701007100000017000000001700001700000017000170000000000000217171701717017071017710161071007107107107017107170107171701071071006271006271062070010717017170720627017170017016100017001627727000001151000710017017006127001700001700000000000000500000000010061177117701107010771001617110611771007171620017071717102770161710716216170001701000070171711617017001701701176262717720627107016261017016116
Teste01,04,2262,100000006600017000011617170107017101771000071177107100710710000071017017772110701000017106777107262700001611717001161006200710710000170110017170107140000000016101700010700106271701070001700106110701070107010710071071070171700017001717001701717017171062701627000710000000072707117000101715100717100716110071771170711700007107107010010010717170107171717100710070170000007717007172617026000170710701071007100011277000007100710007171717170000177100000000071000710071007100071000071071000717107171727000771107171071717026017170170171071717017171717171701717100711610066101710727010017017017171701717161017170001701717017170100710006617107011717100017010000071016107117710071071007107107107100710071170000170170175001717720710170101700170171717107170171701717010701717017171717107107101611760617107100000017001010710000161170000017000017727016271710701000071571710000000001710171000071000000711771000000071016261000016100000007100000710711700061707161107017171007017107001070170107010710071071007100007100001710171016100570000107017171071000071177101701001710000100072701705071071717107107100711771000071016117710000170107110710710171700
Teste01,05,3286,70010710071000000711610717171001710071071071710710717107105000717000017000001772717000001700000000710071177117000017001700017001070170017107000170171717171717017000170170017001717001701701717000170000170170000171717170170107017170107001701701701700170000017071161007100710710101701071070170017000000000071071071070171717017017170017170170170017001151000106270000000000000017000000170000000170000016117711627000001700000000007100000071007107107107171071000010717170017000170000071007100710710071007107100710710071071710717171070170170170170001717017000017071017000717100071710710710717171070171701717017001700170017000000170000000001700000000000007100007100071000710071007107107107170171700171700170000001717010710071000000000017101717107107027071071007100710000071007100000710000071071000710000710000071007100710710000071007100710000071000007116100000000000007100000000711772707107017161071717701610701707171071007100000710000071007100000710000071007107100710071071007100710071000000710071007100071000007100000710000071000071007100000710071000000007100000000000001710001717100710071000000000017017100717001700170000000000000000000071000000000710000071007100717010717170171701700170017170000000000000007100710717171070170170017170170017001701700017017001701701701701701700170170001700000170000001700000000000000000071071007100071000071007107107100710071000071007171717017107000170161171611770100071017000017171071717010700177110701611611700001701701716110701717017017000710071007100071071161000000007100710000000000071000000161000071000000000000000177100000007100711617100007017171070171071710000071071000007100711610071710710000071710007170100
Teste01,06,3584,1000000071071071070107017170107710000170071161007107100717100710710070171717171711617017170017017001070171701717000171070171700170017017106271701701070000017000000000000000000000710000001710000071071717171700000000000000000000000000000000000007100710710071071007100710071007107100710071071007107107107107171717170000170000000017007101707100071007107171717107171701717171700017171717001701700001700000017000000000000000000000000000000717100717100710710717171701710071000000000000017170010710100710007117711700000000000000001700000000001700000001700000000000017000000001700000000000000000170000000000000017000001700000170000017001700170017000001700170017000071000070000070710700071707100000000000170000170000000000001700000001700000000000000000000000000000000000000170170000000000000000017000017000000170000000170000000000017000000000170000170001700001717017100171710000000000000001701701717171001077171071717017017170017017000170000017000170000170000000000000000710000710710071710071710717100717171717170171717017001700000000161007171071071007171070107107010717107171007171160107107107107010700171717017010700170171701700170000000000000000170000000000000000000000000000170000000071000071710000717171071717107171610161171701071701000710000007107100717107010071071701070107171071071007010007107100710710717177101716117161170170001701701701071700170001701710700171701701717171701701700171701717170171717171701701701717001611070000171771000007100001610170171700017000107001700171700000001701701611700170007117071000001702510017170170177117711717100000000000007100000000071017750270070010701717017011617017171701701700000000017001717171701071717171007100710016171710710000071000717107171717107171007010071007107010700171710717171000000717100710000007171071071007171717017170001700000000000000010107
Teste01,07,3600,700000000000000710070710701700170000000170007270710000071000071000007100071000711010001700017107171700000000700717017017110017001700001700000000170000000000007171700717017017107010710071100000717171700070000161000717171710071170000000000170170000017162700071070107710001170000162100071727610000717000171700017016200161161070000011710071000717017007000071000000000000000000000001707100071717017107100710071170717100000007101707262701611710717017000161007100710000000000000170001611700171710717000000717171717000170100717170017000000007171700017170000000710071000727726172601726010070261717170100726171007260116010071071717172610071710710071007100700261710710717260026017107107010701717017260107017170107017171710700107026170107010717261717171007107001070026172601071710701071710710710071000017710001617277100711610000000170007270017711151170171710017071071001771000170000171701700010700170107000107010700107010701071701070107107171070261702610717010701071007107107100717100726100710007277100701070071717071710700177171771600101070171717107107107100710710710710710717100717107171071710717107171710717171701717171710717171701070171701717010701701701717017017017017171071071071717107010710000710000000000001700017001701717001717170010717001717170170106117001070107170170170100717017171717170107010710700107170010717170171717001717170107001070107000171700017017001717017001700170170001701701701717170171701700017170170170170170170106101701700171700170017170170170000000000000007100710000007100007277171071070161071070000710701710071007101710000100710707161000000001701711610700000717171071007107107161001071177100000000710001701710701000711610007160107107171702700170007100717000100710701000000000071710070010007271700000000000710717000170100701717000000717107017017170171101000171717017710070170726171001
Teste01,08,3576,700000000000000671701600100717171701000717171717171700170000017171071717010161717100000007100177171000000170711707107100710710071000710071000007100700107100071710170000071000000001771711610071000071717171717017000017000000001010072700000710071007171007171717107161170017017000007100000710007101610710710024117171161070107017170171717107017107017107171710701700171071717170107171700017001700017000000000170710000017171001707100710710717000000170000000017000000017000000000170000000000000007100000071007100071007171000710007107100716110710717170017171611717000170016117016117071017710071071071007171717171717010717171717170170017001700001700001700001700000000170000071000071007100071071000717171710000071000170017001070171001007100000017711701700000000170001700017000017001700001700170000001717000000010700000001700000001717000000170000170017017000017170001701717017001717000170171717000000000717170007000717000070710001700000017170001700017000001701700001700170000000170000000017000000001700000017170017000001700000017170001700170017000017017000000170017000170001700170170017001701070100010710000000000170000171701717100001070071071071717171701717017170017000171700170017170000000170000071001610007100710007100710710007107107171071717171717171701700170001771000710007100007107100071710710071000071000071071000071710701071717171071701701071717017000170000000017000170001700000000000170000170001601000000000000710000007171000717107100710601107017171071071007100000000000710071000701000007170100710717100007100717277100071000071000717170017001070171717001070171717107170170107017010717171710701071717171070171717010717171710717171071710717017171717171701070001717170000000001700017017107017017017107017170171070001700171717106117017170000170710170010717001071717170170177110710000001700071001
Teste01,09,3308,1000007116116116777100171007117010001701701710710717170171071717170017171700171701717107171071700100071000007276771071000710010710017017010071017000000177100001700710000071000007100071152170701017000071001700170017170171061261770511620701700100000170101627017171717171071710710701007017171071701071071701070107171007171007100007110701770671071000007116270017017171100710000017001700017000170001717001707271701701717100717100016101617607107100001627162701710010710000007101700710000001707100000000000000170727000000001771170000000007270072610071000001717717711607017171071717172512610717261710701701007107017107107171711617100000071000727710000710000170100017100017071000570000001000701701161000710017000071260710170261711620000017010071000017170176060100000701007100007100000711700000170710001700170000017001717171161107100007117017171710710170007104017170001700100070100620007017011710771001700071001700007116100071161000017710000171701725177210107010071106110070107677100072700000171701771106207011610071161717100007100000170171701171170107171007100714000170000001707117177111601717170107017171070106216000170116017000107171000701007171071000007100000701701070170017017170106207001710717171710717116017016271771000001771001700071017000001700017010026105100000717100071710710710717017017000017001610000071000062000010171071070116170100071710070117000710000627170017007171601700151277116107017276117171700710071710000710000071106121727070711700170000071000170701000620620700105021627727000007270007277277171162610071007277277100000727717116100007171000717171170161000610100071710070100702512610717100707126170260107107107025125126171710071717214011717107
Teste01,10,3208,70000000072610000007100000710007100071001421071007107171070171071710710717107010710071717107017100702617171710700017017000000000000000017101772610007107100717000000170000000000017000000007100007107107107171717170171071717171717016270171701772700170727000000170000000000000007100000071007100710071071710710701071071717107017017017000170001700000000000071071717171710717171700170107100000017001071710001071007117711070000000001070000001070000170170000001701700170000170000017017000000107000170010700010701701717170017171701070071071700000007717000000077100000170170017170000001070000170170000000001700000000000171717000000170001701701700017017017000001701700017017001717017017107171001701710000017000171717100710001700007100710717107170107171701700171701701717000000000710007171717107171717171717171700170170170170001700001700000000000710071000071000071007100007100710071007100000007100710007100071071710710717107171717107107017001611700000170170000000000170000170000071177001000701710701717170177117001700171701710007100717107171701071717017170017171710717171071071717107171701610170001700017000001700170017017017000017000170170017017001701700170170170000170170170017017017017170017000170170001620700000017000000000071001700000000171700001700017000170001701700000000017017000000170000000000000000001700170001700170001700000001710017000710000007100177601502161710710717107100710710717171070001701717107172602610710071161000071161000710007116270710000007100710071000071000710007100000071007171710000710710001771000071161000072707100071000007100710071710701701700000001171007116171717171717017017001700000001
